[ INFO ] Log initialized
[ ERROR ] OpenGL error: 1282 in Render start
[ ERROR ] OpenGL error: 1281 in Render start
[ ERROR ] OpenGL error: 1281 in After shader program
[ ERROR ] OpenGL error: 1281 in After shader program
[ ERROR ] OpenGL error: 1281 in After shader program
[ ERROR ] OpenGL error: 1281 in After shader program
[ ERROR ] OpenGL error: 1281 in After shader program
[ ERROR ] OpenGL error: 1281 in After shader program
[ ERROR ] OpenGL error: 1281 in After shader program
[ ERROR ] OpenGL error: 1281 in After shader program
[ ERROR ] OpenGL error: 1281 in After shader program
[ ERROR ] OpenGL error: 1281 in After shader program
[ ERROR ] OpenGL error: 1281 in After shader program
[ ERROR ] OpenGL error: 1281 in After shader program
[ ERROR ] OpenGL error: 1281 in After shader program
[ ERROR ] OpenGL error: 1281 in After shader program
[ ERROR ] OpenGL error: 1281 in After shader program
[ ERROR ] OpenGL error: 1281 in After shader program
[ ERROR ] OpenGL error: 1281 in After shader program
[ ERROR ] OpenGL error: 1281 in After shader program
[ ERROR ] OpenGL error: 1281 in After shader program
[ ERROR ] OpenGL error: 1281 in After shader program
[ ERROR ] OpenGL error: 1281 in After shader program
[ ERROR ] OpenGL error: 1281 in After shader program
[ ERROR ] OpenGL error: 1281 in After shader program
[ ERROR ] OpenGL error: 1281 in After shader program
[ ERROR ] OpenGL error: 1281 in After shader program
[ ERROR ] OpenGL error: 1281 in After shader program
[ ERROR ] OpenGL error: 1281 in After shader program
[ ERROR ] OpenGL error: 1281 in After shader program
[ ERROR ] OpenGL error: 1281 in After shader program
[ ERROR ] OpenGL error: 1281 in After shader program
[ ERROR ] OpenGL error: 1281 in After shader program
[ ERROR ] OpenGL error: 1281 in After shader program
[ ERROR ] OpenGL error: 1281 in After shader program
[ ERROR ] OpenGL error: 1281 in After shader program
[ ERROR ] OpenGL error: 1281 in After shader program
[ ERROR ] OpenGL error: 1281 in After shader program
[ ERROR ] OpenGL error: 1281 in After shader program
[ ERROR ] OpenGL error: 1281 in After shader program
[ ERROR ] OpenGL error: 1281 in After shader program
[ ERROR ] OpenGL error: 1281 in After shader program
[ ERROR ] OpenGL error: 1281 in After shader program
[ ERROR ] OpenGL error: 1281 in After shader program
[ ERROR ] OpenGL error: 1281 in After shader program
[ ERROR ] OpenGL error: 1281 in After shader program
[ ERROR ] OpenGL error: 1281 in After shader program
[ ERROR ] OpenGL error: 1281 in After shader program
[ ERROR ] OpenGL error: 1281 in After shader program
[ ERROR ] OpenGL error: 1281 in After shader program
[ ERROR ] OpenGL error: 1281 in After shader program
[ ERROR ] OpenGL error: 1281 in After shader program
[ ERROR ] OpenGL error: 1281 in After shader program
[ ERROR ] OpenGL error: 1281 in After shader program
[ ERROR ] OpenGL error: 1281 in After shader program
[ ERROR ] OpenGL error: 1281 in After shader program
[ ERROR ] OpenGL error: 1281 in After shader program
[ ERROR ] OpenGL error: 1281 in After shader program
[ ERROR ] OpenGL error: 1281 in After shader program
[ ERROR ] OpenGL error: 1281 in After shader program
[ ERROR ] OpenGL error: 1281 in After shader program
[ ERROR ] OpenGL error: 1281 in After shader program
[ ERROR ] OpenGL error: 1281 in After shader program
[ ERROR ] OpenGL error: 1281 in After shader program
[ ERROR ] OpenGL error: 1281 in After shader program
[ ERROR ] OpenGL error: 1281 in After shader program
[ ERROR ] OpenGL error: 1281 in After shader program
